_id,INC_IR_NO,INC_IA_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_BEAT,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,HIGHEST_SHOW_FORCE,SHOW_FORCE_COUNT
2086,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,39950.0,Male,36.0,30s,White,Hispanic,Hispanic,Criminal Felony,Gun,1
2087,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,44029.0,Female,27.0,20s,White,Hispanic,Hispanic,Criminal Felony,Gun,1
2088,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,52669.0,Male,45.0,40s,White,Hispanic,Hispanic,No Charge,Gun,1
2089,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,52672.0,Female,78.0,70s,White,Hispanic,Hispanic,No Charge,Gun,1
2090,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,66768.0,Male,23.0,20s,White,Hispanic,White,No Charge,Gun,1
2091,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,66770.0,Female,38.0,30s,White,Non-Hispanic,White,No Charge,Gun,1
2092,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,66772.0,Female,56.0,50s,White,Hispanic,White,No Charge,Gun,1
2093,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,66774.0,Male,58.0,50s,White,Hispanic,White,No Charge,Gun,1
2094,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,66784.0,Female,32.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
2095,202500000919241,SOF25-1610,2025-06-23 10:03:00,2025,10:03:00,Monday,411,2XXX West Pima Street,Phoenix,AZ,85009.0,South Mountain Precinct,66789.0,Male,22.0,20s,White,Hispanic,White,No Charge,Gun,1
2096,202500000882403,SOF25-1612,2025-06-23 16:37:00,2025,16:37:00,Monday,421,2XX West Southern Avenue,Phoenix,AZ,85041.0,South Mountain Precinct,66793.0,Male,48.0,40s,White,Hispanic,White,Criminal Felony,Gun,1
